row,col,field1,field2,field3,field4,parents_data1,parents_data2,value,year
78,2,e Includes mathematics and computer and information sciences.,Field of study,Otherg,Mother's education,NA,Total number,NA,2013
78,3,e Includes mathematics and computer and information sciences.,Field of study,Otherg,Mother's education,NA,NA,NA,2013
78,4,e Includes mathematics and computer and information sciences.,Field of study,Otherg,Mother's education,Parental education attainment (%),All,NA,2013
78,5,e Includes mathematics and computer and information sciences.,Field of study,Otherg,Mother's education,NA,High school or less,NA,2013
78,6,e Includes mathematics and computer and information sciences.,Field of study,Otherg,Mother's education,NA,Some collegea,NA,2013
78,7,e Includes mathematics and computer and information sciences.,Field of study,Otherg,Mother's education,NA,Bachelor's degree,NA,2013
78,8,e Includes mathematics and computer and information sciences.,Field of study,Otherg,Mother's education,NA,Advanced degree,NA,2013
79,2,f Includes psychology.,Field of study,Otherg,Mother's education,NA,Total number,NA,2013
79,3,f Includes psychology.,Field of study,Otherg,Mother's education,NA,NA,NA,2013
79,4,f Includes psychology.,Field of study,Otherg,Mother's education,Parental education attainment (%),All,NA,2013
79,5,f Includes psychology.,Field of study,Otherg,Mother's education,NA,High school or less,NA,2013
79,6,f Includes psychology.,Field of study,Otherg,Mother's education,NA,Some collegea,NA,2013
79,7,f Includes psychology.,Field of study,Otherg,Mother's education,NA,Bachelor's degree,NA,2013
79,8,f Includes psychology.,Field of study,Otherg,Mother's education,NA,Advanced degree,NA,2013
80,2,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,Total number,NA,2013
80,3,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,NA,NA,2013
80,4,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,Parental education attainment (%),All,NA,2013
80,5,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,High school or less,NA,2013
80,6,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,Some collegea,NA,2013
80,7,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,Bachelor's degree,NA,2013
80,8,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,Advanced degree,NA,2013
81,1,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,NA,NA,2013
81,2,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,Total number,NA,2013
81,3,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,NA,NA,2013
81,4,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,Parental education attainment (%),All,NA,2013
81,5,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,High school or less,NA,2013
81,6,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,Some collegea,NA,2013
81,7,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,Bachelor's degree,NA,2013
81,8,g Non-science and engineering fields not shown separately.,Field of study,Otherg,Mother's education,NA,Advanced degree,NA,2013
82,2,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,Total number,NA,2013
82,3,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,NA,NA,2013
82,4,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,Parental education attainment (%),All,NA,2013
82,5,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,High school or less,NA,2013
82,6,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,Some collegea,NA,2013
82,7,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,Bachelor's degree,NA,2013
82,8,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,Advanced degree,NA,2013
83,1,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,NA,NA,2013
83,2,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,Total number,NA,2013
83,3,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,NA,NA,2013
83,4,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,Parental education attainment (%),All,NA,2013
83,5,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,High school or less,NA,2013
83,6,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,Some collegea,NA,2013
83,7,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,Bachelor's degree,NA,2013
83,8,"NOTE: Due to rounding, percentages may not sum to 100.",Field of study,Otherg,Mother's education,NA,Advanced degree,NA,2013
84,2,"SOURCE: NSF, NIH, USED, USDA, NEH, NASA, Survey of Earned Doctorates, 2013.",Field of study,Otherg,Mother's education,NA,Total number,NA,2013
84,3,"SOURCE: NSF, NIH, USED, USDA, NEH, NASA, Survey of Earned Doctorates, 2013.",Field of study,Otherg,Mother's education,NA,NA,NA,2013
84,4,"SOURCE: NSF, NIH, USED, USDA, NEH, NASA, Survey of Earned Doctorates, 2013.",Field of study,Otherg,Mother's education,Parental education attainment (%),All,NA,2013
84,5,"SOURCE: NSF, NIH, USED, USDA, NEH, NASA, Survey of Earned Doctorates, 2013.",Field of study,Otherg,Mother's education,NA,High school or less,NA,2013
84,6,"SOURCE: NSF, NIH, USED, USDA, NEH, NASA, Survey of Earned Doctorates, 2013.",Field of study,Otherg,Mother's education,NA,Some collegea,NA,2013
84,7,"SOURCE: NSF, NIH, USED, USDA, NEH, NASA, Survey of Earned Doctorates, 2013.",Field of study,Otherg,Mother's education,NA,Bachelor's degree,NA,2013
84,8,"SOURCE: NSF, NIH, USED, USDA, NEH, NASA, Survey of Earned Doctorates, 2013.",Field of study,Otherg,Mother's education,NA,Advanced degree,NA,2013
10,2,All doctorate recipients,Sex,Male,NA,NA,Total number,NA,2013
10,3,All doctorate recipients,Sex,Male,NA,NA,NA,NA,2013
10,4,All doctorate recipients,Sex,Male,NA,Parental education attainment (%),All,NA,2013
10,5,All doctorate recipients,Sex,Male,NA,NA,High school or less,NA,2013
10,6,All doctorate recipients,Sex,Male,NA,NA,Some collegea,NA,2013
10,7,All doctorate recipients,Sex,Male,NA,NA,Bachelor's degree,NA,2013
10,8,All doctorate recipients,Sex,Male,NA,NA,Advanced degree,NA,2013
6,2,All doctorate recipients,Father's educationb,NA,NA,NA,Total number,46025,2013
6,3,All doctorate recipients,Father's educationb,NA,NA,NA,NA,NA,2013
6,4,All doctorate recipients,Father's educationb,NA,NA,Parental education attainment (%),All,100,2013
6,5,All doctorate recipients,Father's educationb,NA,NA,NA,High school or less,24.8,2013
6,6,All doctorate recipients,Father's educationb,NA,NA,NA,Some collegea,13.2,2013
6,7,All doctorate recipients,Father's educationb,NA,NA,NA,Bachelor's degree,26.5,2013
6,8,All doctorate recipients,Father's educationb,NA,NA,NA,Advanced degree,35.5,2013
7,2,All doctorate recipients,Mother's educationc,NA,NA,NA,Total number,46223,2013
7,3,All doctorate recipients,Mother's educationc,NA,NA,NA,NA,NA,2013
7,4,All doctorate recipients,Mother's educationc,NA,NA,Parental education attainment (%),All,100,2013
7,5,All doctorate recipients,Mother's educationc,NA,NA,NA,High school or less,31,2013
7,6,All doctorate recipients,Mother's educationc,NA,NA,NA,Some collegea,16.1,2013
7,7,All doctorate recipients,Mother's educationc,NA,NA,NA,Bachelor's degree,27.5,2013
7,8,All doctorate recipients,Mother's educationc,NA,NA,NA,Advanced degree,25.5,2013
8,1,All doctorate recipients,Mother's educationc,NA,NA,NA,NA,NA,2013
8,2,All doctorate recipients,Mother's educationc,NA,NA,NA,Total number,NA,2013
8,3,All doctorate recipients,Mother's educationc,NA,NA,NA,NA,NA,2013
8,4,All doctorate recipients,Mother's educationc,NA,NA,Parental education attainment (%),All,NA,2013
8,5,All doctorate recipients,Mother's educationc,NA,NA,NA,High school or less,NA,2013
8,6,All doctorate recipients,Mother's educationc,NA,NA,NA,Some collegea,NA,2013
8,7,All doctorate recipients,Mother's educationc,NA,NA,NA,Bachelor's degree,NA,2013
8,8,All doctorate recipients,Mother's educationc,NA,NA,NA,Advanced degree,NA,2013
9,2,All doctorate recipients,Sex,NA,NA,NA,Total number,NA,2013
9,3,All doctorate recipients,Sex,NA,NA,NA,NA,NA,2013
9,4,All doctorate recipients,Sex,NA,NA,Parental education attainment (%),All,NA,2013
9,5,All doctorate recipients,Sex,NA,NA,NA,High school or less,NA,2013
9,6,All doctorate recipients,Sex,NA,NA,NA,Some collegea,NA,2013
9,7,All doctorate recipients,Sex,NA,NA,NA,Bachelor's degree,NA,2013
9,8,All doctorate recipients,Sex,NA,NA,NA,Advanced degree,NA,2013
4,1,"Demographic characteristic
and broad field of study",NA,NA,NA,NA,NA,NA,2013
4,2,"Demographic characteristic
and broad field of study",NA,NA,NA,NA,Total number,NA,2013
4,3,"Demographic characteristic
and broad field of study",NA,NA,NA,NA,NA,NA,2013
4,4,"Demographic characteristic
and broad field of study",NA,NA,NA,Parental education attainment (%),All,NA,2013
4,5,"Demographic characteristic
and broad field of study",NA,NA,NA,NA,High school or less,NA,2013
4,6,"Demographic characteristic
and broad field of study",NA,NA,NA,NA,Some collegea,NA,2013
4,7,"Demographic characteristic
and broad field of study",NA,NA,NA,NA,Bachelor's degree,NA,2013
4,8,"Demographic characteristic
and broad field of study",NA,NA,NA,NA,Advanced degree,NA,2013
5,2,All doctorate recipients,NA,NA,NA,NA,Total number,NA,2013
5,3,All doctorate recipients,NA,NA,NA,NA,NA,NA,2013
5,4,All doctorate recipients,NA,NA,NA,Parental education attainment (%),All,NA,2013
5,5,All doctorate recipients,NA,NA,NA,NA,High school or less,NA,2013
5,6,All doctorate recipients,NA,NA,NA,NA,Some collegea,NA,2013
5,7,All doctorate recipients,NA,NA,NA,NA,Bachelor's degree,NA,2013
5,8,All doctorate recipients,NA,NA,NA,NA,Advanced degree,NA,2013
11,2,All doctorate recipients,Sex,Male,Father's education,NA,Total number,24980,2014
11,3,All doctorate recipients,Sex,Male,Father's education,NA,NA,NA,2014
11,4,All doctorate recipients,Sex,Male,Father's education,Parental education attainment (%),All,100,2014
11,5,All doctorate recipients,Sex,Male,Father's education,NA,High school or less,25.1,2014
11,6,All doctorate recipients,Sex,Male,Father's education,NA,Some collegea,12.3,2014
11,7,All doctorate recipients,Sex,Male,Father's education,NA,Bachelor's degree,27.5,2014
11,8,All doctorate recipients,Sex,Male,Father's education,NA,Advanced degree,35.2,2014
12,2,All doctorate recipients,Sex,Male,Mother's education,NA,Total number,25002,2014
12,3,All doctorate recipients,Sex,Male,Mother's education,NA,NA,NA,2014
12,4,All doctorate recipients,Sex,Male,Mother's education,Parental education attainment (%),All,100,2014
12,5,All doctorate recipients,Sex,Male,Mother's education,NA,High school or less,32.4,2014
12,6,All doctorate recipients,Sex,Male,Mother's education,NA,Some collegea,15.1,2014
12,7,All doctorate recipients,Sex,Male,Mother's education,NA,Bachelor's degree,28.5,2014
12,8,All doctorate recipients,Sex,Male,Mother's education,NA,Advanced degree,24,2014
13,2,All doctorate recipients,Sex,Female,Mother's education,NA,Total number,NA,2014
13,3,All doctorate recipients,Sex,Female,Mother's education,NA,NA,NA,2014
13,4,All doctorate recipients,Sex,Female,Mother's education,Parental education attainment (%),All,NA,2014
13,5,All doctorate recipients,Sex,Female,Mother's education,NA,High school or less,NA,2014
13,6,All doctorate recipients,Sex,Female,Mother's education,NA,Some collegea,NA,2014
13,7,All doctorate recipients,Sex,Female,Mother's education,NA,Bachelor's degree,NA,2014
13,8,All doctorate recipients,Sex,Female,Mother's education,NA,Advanced degree,NA,2014
14,2,All doctorate recipients,Sex,Female,Father's education,NA,Total number,21515,2014
14,3,All doctorate recipients,Sex,Female,Father's education,NA,NA,NA,2014
14,4,All doctorate recipients,Sex,Female,Father's education,Parental education attainment (%),All,100,2014
14,5,All doctorate recipients,Sex,Female,Father's education,NA,High school or less,23.4,2014
14,6,All doctorate recipients,Sex,Female,Father's education,NA,Some collegea,13.9,2014
14,7,All doctorate recipients,Sex,Female,Father's education,NA,Bachelor's degree,26.7,2014
14,8,All doctorate recipients,Sex,Female,Father's education,NA,Advanced degree,36.1,2014
15,2,All doctorate recipients,Sex,Female,Mother's education,NA,Total number,21648,2014
15,3,All doctorate recipients,Sex,Female,Mother's education,NA,NA,NA,2014
15,4,All doctorate recipients,Sex,Female,Mother's education,Parental education attainment (%),All,100,2014
15,5,All doctorate recipients,Sex,Female,Mother's education,NA,High school or less,28,2014
15,6,All doctorate recipients,Sex,Female,Mother's education,NA,Some collegea,16.8,2014
15,7,All doctorate recipients,Sex,Female,Mother's education,NA,Bachelor's degree,27.7,2014
15,8,All doctorate recipients,Sex,Female,Mother's education,NA,Advanced degree,27.5,2014
16,1,All doctorate recipients,Sex,Female,Mother's education,NA,NA,NA,2014
16,2,All doctorate recipients,Sex,Female,Mother's education,NA,Total number,NA,2014
16,3,All doctorate recipients,Sex,Female,Mother's education,NA,NA,NA,2014
16,4,All doctorate recipients,Sex,Female,Mother's education,Parental education attainment (%),All,NA,2014
16,5,All doctorate recipients,Sex,Female,Mother's education,NA,High school or less,NA,2014
16,6,All doctorate recipients,Sex,Female,Mother's education,NA,Some collegea,NA,2014
16,7,All doctorate recipients,Sex,Female,Mother's education,NA,Bachelor's degree,NA,2014
16,8,All doctorate recipients,Sex,Female,Mother's education,NA,Advanced degree,NA,2014
17,2,All doctorate recipients,Citizenship status,Female,Mother's education,NA,Total number,NA,2014
17,3,All doctorate recipients,Citizenship status,Female,Mother's education,NA,NA,NA,2014
17,4,All doctorate recipients,Citizenship status,Female,Mother's education,Parental education attainment (%),All,NA,2014
17,5,All doctorate recipients,Citizenship status,Female,Mother's education,NA,High school or less,NA,2014
17,6,All doctorate recipients,Citizenship status,Female,Mother's education,NA,Some collegea,NA,2014
17,7,All doctorate recipients,Citizenship status,Female,Mother's education,NA,Bachelor's degree,NA,2014
17,8,All doctorate recipients,Citizenship status,Female,Mother's education,NA,Advanced degree,NA,2014
18,2,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Total number,NA,2014
18,3,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,NA,NA,2014
18,4,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,Parental education attainment (%),All,NA,2014
18,5,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,High school or less,NA,2014
18,6,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Some collegea,NA,2014
18,7,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Bachelor's degree,NA,2014
18,8,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Advanced degree,NA,2014
19,2,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,Total number,31860,2014
19,3,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,NA,NA,2014
19,4,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,Parental education attainment (%),All,100,2014
19,5,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,High school or less,21.3,2014
19,6,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,Some collegea,14.1,2014
19,7,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,Bachelor's degree,24.6,2014
19,8,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,Advanced degree,39.9,2014
20,2,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Total number,32067,2014
20,3,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,NA,NA,2014
20,4,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,Parental education attainment (%),All,100,2014
20,5,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,High school or less,24.3,2014
20,6,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Some collegea,17.9,2014
20,7,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Bachelor's degree,27.6,2014
20,8,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Advanced degree,30.1,2014
21,2,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Total number,NA,2014
21,3,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,NA,NA,2014
21,4,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,Parental education attainment (%),All,NA,2014
21,5,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,High school or less,NA,2014
21,6,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Some collegea,NA,2014
21,7,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Bachelor's degree,NA,2014
21,8,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Advanced degree,NA,2014
22,2,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,Total number,14596,2014
22,3,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,NA,NA,2014
22,4,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,Parental education attainment (%),All,100,2014
22,5,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,High school or less,30.8,2014
22,6,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,Some collegea,10.6,2014
22,7,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,Bachelor's degree,32.5,2014
22,8,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,Advanced degree,26.1,2014
23,2,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Total number,14542,2014
23,3,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,NA,NA,2014
23,4,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,Parental education attainment (%),All,100,2014
23,5,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,High school or less,43.7,2014
23,6,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Some collegea,11.5,2014
23,7,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Bachelor's degree,29.2,2014
23,8,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Advanced degree,15.6,2014
24,1,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,NA,NA,2014
24,2,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Total number,NA,2014
24,3,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,NA,NA,2014
24,4,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,Parental education attainment (%),All,NA,2014
24,5,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,High school or less,NA,2014
24,6,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Some collegea,NA,2014
24,7,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Bachelor's degree,NA,2014
24,8,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Advanced degree,NA,2014
25,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,Total number,NA,2014
25,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,NA,NA,2014
25,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,Parental education attainment (%),All,NA,2014
25,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,High school or less,NA,2014
25,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,Some collegea,NA,2014
25,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,Bachelor's degree,NA,2014
25,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,Advanced degree,NA,2014
26,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Total number,NA,2014
26,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,NA,NA,2014
26,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,Parental education attainment (%),All,NA,2014
26,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,High school or less,NA,2014
26,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Some collegea,NA,2014
26,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Bachelor's degree,NA,2014
26,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Advanced degree,NA,2014
27,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,Total number,2006,2014
27,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,NA,NA,2014
27,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,Parental education attainment (%),All,100,2014
27,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,High school or less,36.3,2014
27,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,Some collegea,13.8,2014
27,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,Bachelor's degree,21.1,2014
27,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,Advanced degree,28.8,2014
28,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Total number,2040,2014
28,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,NA,NA,2014
28,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,Parental education attainment (%),All,100,2014
28,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,High school or less,38,2014
28,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Some collegea,18,2014
28,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Bachelor's degree,21.7,2014
28,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Advanced degree,22.3,2014
29,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,Total number,NA,2014
29,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,NA,NA,2014
29,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,Parental education attainment (%),All,NA,2014
29,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,High school or less,NA,2014
29,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,Some collegea,NA,2014
29,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,Bachelor's degree,NA,2014
29,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,Advanced degree,NA,2014
30,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Total number,NA,2014
30,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,NA,NA,2014
30,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,Parental education attainment (%),All,NA,2014
30,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,High school or less,NA,2014
30,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Some collegea,NA,2014
30,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Bachelor's degree,NA,2014
30,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Advanced degree,NA,2014
31,1,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,NA,NA,2014
31,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Total number,92,2014
31,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,NA,NA,2014
31,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,Parental education attainment (%),All,100,2014
31,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,High school or less,42.4,2014
31,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Some collegea,15.2,2014
31,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Bachelor's degree,14.1,2014
31,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Advanced degree,28.3,2014
32,1,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,NA,NA,2014
32,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Total number,92,2014
32,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,NA,NA,2014
32,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,Parental education attainment (%),All,100,2014
32,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,High school or less,40.2,2014
32,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Some collegea,22.8,2014
32,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Bachelor's degree,15.2,2014
